Stopword;;;;;;;;;
1;;;;;;;;;
3;;;;;;;;;
?1;;;;;;;;;
aal;;;;;;;;;
abb;;;;;;;;;
acaso;;;;;;;;;
accon;;;;;;;;;
acion;;;;;;;;;
actualidad;;;;;;;;;
adeas;;;;;;;;;
adecuar;;;;;;;;;
adie;;;;;;;;;
adir;;;;;;;;;
adm;;;;;;;;;
adrian;;;;;;;;;
afiinales;;;;;;;;;
ahi;;;;;;;;;
aiento;;;;;;;;;
aim;;;;;;;;;
albeiro;;;;;;;;;
alcald;;;;;;;;;
alejandra;;;;;;;;;
alejandro;;;;;;;;;
alexandra;;;;;;;;;
aley;;;;;;;;;
alizado;;;;;;;;;
almacentro;;;;;;;;;
altavista;;;;;;;;;
alvarez;;;;;;;;;
amanecer;;;;;;;;;
ambargo;;;;;;;;;
amiento;;;;;;;;;
amiento;;;;;;;;;
ana;;;;;;;;;
anacant;;;;;;;;;
andesn;;;;;;;;;
andres;;;;;;;;;
ans;;;;;;;;;
ans;;;;;;;;;
anti;;;;;;;;;
anticipacion;;;;;;;;;
aptar;;;;;;;;;
aquaforjas;;;;;;;;;
aquuaforjas;;;;;;;;;
aranjuez;;;;;;;;;
arar;;;;;;;;;
ario;;;;;;;;;
arroyave;;;;;;;;;
astid;;;;;;;;;
astrd;;;;;;;;;
astri;;;;;;;;;
astrid;;;;;;;;;
astrid;;;;;;;;;
astridb;;;;;;;;;
aua;;;;;;;;;
aurelino;;;;;;;;;
auteco;;;;;;;;;
autizar;;;;;;;;;
avda;;;;;;;;;
avelino;;;;;;;;;
balbosas;;;;;;;;;
baldar;;;;;;;;;
bancolombia;;;;;;;;;
barbosa;;;;;;;;;
bede;;;;;;;;;
bel;;;;;;;;;
bello;;;;;;;;;
beltran;;;;;;;;;
ben;;;;;;;;;
berrio;;;;;;;;;
betania;;;;;;;;;
bia;;;;;;;;;
bolivar;;;;;;;;;
boris;;;;;;;;;
bulgares;;;;;;;;;
bustamanete;;;;;;;;;
bustamante;;;;;;;;;
calda;;;;;;;;;
camilo;;;;;;;;;
can;;;;;;;;;
candar;;;;;;;;;
car;;;;;;;;;
carlos;;;;;;;;;
carolina;;;;;;;;;
cartagena;;;;;;;;;
castrar;;;;;;;;;
caul;;;;;;;;;
causanoefectividad;;;;;;;;;
ceballos;;;;;;;;;
cercar;;;;;;;;;
cesar;;;;;;;;;
churupo;;;;;;;;;
chutar;;;;;;;;;
cia;;;;;;;;;
ciendo;;;;;;;;;
cintar;;;;;;;;;
cion;;;;;;;;;
circ;;;;;;;;;
circuito;;;;;;;;;
circular;;;;;;;;;
civil;;;;;;;;;
claro;;;;;;;;;
cll;;;;;;;;;
cmo;;;;;;;;;
codig;;;;;;;;;
conh;;;;;;;;;
construira;;;;;;;;;
contica;;;;;;;;;
copacabana;;;;;;;;;
corpanel;;;;;;;;;
correar;;;;;;;;;
cpm;;;;;;;;;
cra;;;;;;;;;
cristian;;;;;ovo;;X;Otra;"(Y;Z)"
cristiano;;;;;ovr;;;;
cristobal;;;;;;;;;
cuan;;;;;;;;;
cul;;;;;;;;;na
cundinamarca;;;;;;;;;vacios
dairon;;;;;;;;;standarizar
daniel;;;;;;;;;
dce;;;;;;;;;
dea;;;;;;;;;
decima;;;;;;;;;
del;;;;;;;;;
dem;;;;;;;;;
der;;;;;;;;;
descansar;;;;;;;;;
diag;;;;;;;;;
diagonal;;;;;;;;;
dic;;;;;;;;;
diciembre;;;;;;;;;
diego;;;;;;;;;
dios;;;;;{nombre:'Juan',apellido:'Perez'};;;;
directorio;;;;;;;;;
discoteca;;;;;;;;;
do;;;;;;;;;
domesticar;;;;;;;;;
dor;;;;;;;;;
dpd;;;;;;;;;
due;;;;;;;;;
due;;;;;;;;;
echavarria;;;;;;;;;
econ;;;;;;;;;
edmer;;;;;;;;;
eduardo;;;;;;;;;
él;;;;;;;;;
ela;;;;;;;;;
ellos;;;;;;;;;
elster;;;;;;;;;
empoder;;;;;;;;;
enc;;;;;;;;;
enca;;;;;;;;;
enero;;;;;;;;;
enh;;;;;;;;;
ense;;;;;;;;;
entan;;;;;;;;;
envigado;;;;;;;;;
enz;;;;;;;;;
epoca;;;;;;;;;
eppm;;;;;;;;;
escobar;;;;;;;;;
ese;;;;;;;;;
ester;;;;;;;;;
eval;;;;;;;;;
evitar;;;;;;;;;
ext;;;;;;;;;
externase;;;;;;;;;
extra;;;;;;;;;
fallir;;;;;;;;;
falso;;;;;;;;;
fcm;;;;;;;;;
febrero;;;;;;;;;
fernando;;;;;;;;;
figas;;;;;;;;;
fijacion;;;;;;;;;
fiscalia;;;;;;;;;
fornieles;;;;;;;;;
franco;;;;;;;;;
frisby;;;;;;;;;
fsm;;;;;;;;;
fues;;;;;;;;;
fundicon;;;;;;;;;
furnieles;;;;;;;;;
gallego;;;;;;;;;
garcia;;;;;;;;;
gaviria;;;;;;;;;
geraldin;;;;;;;;;
gico;;;;;;;;;
gil;;;;;;;;;
gip;;;;;;;;;
gono;;;;;;;;;
gonzalo;;;;;;;;;
green;;;;;;;;;
griferia;;;;;;;;;
guevara;;;;;;;;;
guillermo;;;;;;;;;
gyp;;;;;;;;;
hablar;;;;;;;;;
hasto;;;;;;;;;
hayq;;;;;;;;;
hdro;;;;;;;;;
henrio;;;;;;;;;
hidro;;;;;;;;;
holley;;;;;;;;;
humanidad;;;;;;;;;
ias;;;;;;;;;
iberconta;;;;;;;;;
ideo;;;;;;;;;
ilegal;;;;;;;;;
indentica;;;;;;;;;
inder;;;;;;;;;
inf;;;;;;;;;
infancia;;;;;;;;;
intervantoria;;;;;;;;;
interverntoria;;;;;;;;;
iona;;;;;;;;;
ios;;;;;;;;;
ipid;;;;;;;;;
ips;;;;;;;;;
ir;;;;;;;;;
itag;;;;;;;;;
items;;;;;;;;;
jaime;;;;;;;;;
jair;;;;;;;;;
jas;;;;;;;;;
jesica;;;;;;;;;
jessica;;;;;;;;;
jim;;;;;;;;;
joaquin;;;;;;;;;
johana;;;;;;;;;
jorge;;;;;;;;;
jose;;;;;;;;;
juan;;;;;;;;;
julio;;;;;;;;;
junio;;;;;;;;;
kent;;;;;;;;;
kevin;;;;;;;;;
kiosko;;;;;;;;;
kioskos;;;;;;;;;
krohne;;;;;;;;;
lardar;;;;;;;;;
leon;;;;;;;;;
les;;;;;;;;;
lo;;;;;;;;;
loaiza;;;;;;;;;
lombia;;;;;;;;;
los;;;;;;;;;
ltiples;;;;;;;;;
ltsnota;;;;;;;;;
lucio;;;;;;;;;
luis;;;;;;;;;
luisa;;;;;;;;;
luna;;;;;;;;;
lunes;;;;;;;;;
luz;;;;;;;;;
maddalena;;;;;;;;;
maddalenna;;;;;;;;;
maddelena;;;;;;;;;
maria;;;;;;;;;
mariluz;;;;;;;;;
martes;;;;;;;;;
martina;;;;;;;;;
maryluz;;;;;;;;;
mas;;;;;;;;;
mauricio;;;;;;;;;
mazar;;;;;;;;;
medell;;;;;;;;;
medellin;;;;;;;;;
meeses;;;;;;;;;
mencon;;;;;;;;;
mesees;;;;;;;;;
meseo;;;;;;;;;
mez;;;;;;;;;
mi;;;;;;;;;
mia;;;;;;;;;
mica;;;;;;;;;
mimilla;;;;;;;;;
minorista;;;;;;;;;
mirrilla;;;;;;;;;
mismta;;;;;;;;;
monsalve;;;;;;;;;
monterrey;;;;;;;;;
montoya;;;;;;;;;
mosquera;;;;;;;;;
motor;;;;;;;;;
movistar;;;;;;;;;
mse;;;;;;;;;
municipal;;;;;;;;;
nabb;;;;;;;;;
nacional;;;;;;;;;
nador;;;;;;;;;
nanci;;;;;;;;;
naranjado;;;;;;;;;
nel;;;;;;;;;
nen;;;;;;;;;
nez;;;;;;;;;
nfue;;;;;;;;;
nica;;;;;;;;;
nicas;;;;;;;;;
niem;;;;;;;;;
nien;;;;;;;;;
ning;;;;;;;;;
niples;;;;;;;;;
nit;;;;;;;;;
nla;;;;;;;;;
nno;;;;;;;;;
nnos;;;;;;;;;
nocumple;;;;;;;;;
noral;;;;;;;;;
nose;;;;;;;;;
nov;;;;;;;;;
noviembre;;;;;;;;;
nse;;;;;;;;;
nsion;;;;;;;;;
ntima;;;;;;;;;
nto;;;;;;;;;
nubia;;;;;;;;;
occidente;;;;;;;;;
octubre;;;;;;;;;
odromo;;;;;;;;;
oen;;;;;;;;;
oficial;;;;;;;;;
olaya;;;;;;;;;
olga;;;;;;;;;
